mb_code16,sa1_code16,sa2_code16,sa2_name,sa3_code16,sa3_name,lga_name,uhi_mean,canopy_pct,grass_pct,shrub_pct,any_veg_pct,shrub_tree_pct,tree_03_10_pct,tree_10_15_pct,tree_15plus_pct,mb_category,dwellings,persons,area_sqkm,irsd_score,irsd_decile
20016220000,20901119804,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),8.21,37.9528,4.2401,2.8123,45.0052,40.7651,11.3195,11.0785,15.5548,Parkland,0,0,0.0264,1094,9
20016230000,20901119932,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.4355,15.2921,10.5243,8.2318,34.0482,23.5239,11.5894,3.2248,0.4779,Residential,59,111,0.0408,920,2
20016240000,20901119829,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),8.1636,13.3155,7.5217,8.1363,28.9734,21.4518,11.4132,1.5994,0.3028,Residential,46,131,0.0399,1058,7
20016250000,20901119802,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),8.5673,13.5522,9.0847,10.4645,33.1014,24.0167,9.7254,3.0711,0.7557,Residential,40,66,0.0249,1072,8
20016260000,20901119926,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.127,12.813,12.3164,6.166,31.2954,18.979,8.6621,2.9055,1.2453,Residential,51,110,0.0259,985,4
20016271000,20901119923,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.4473,15.281,13.4119,5.8291,34.522,21.1101,12.8632,2.075,0.3428,Residential,10,37,0.0128,948,3
20016272000,20901119907,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.9068,10.6013,6.6349,5.378,22.6142,15.9793,6.0663,4.2099,0.3251,Residential,17,49,0.0115,873,2
20016280000,20901119921,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.1365,10.4181,8.7092,9.244,28.3713,19.6621,9.1442,1.1622,0.1117,Residential,27,75,0.0243,999,5
20016290000,20901119819,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),8.4941,13.9822,10.738,9.5193,34.2396,23.5015,10.3868,2.305,1.2905,Residential,47,101,0.0398,1054,7
20016300000,20901119819,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),8.1692,20.5836,7.71,9.8685,38.1621,30.4521,15.8444,3.3116,1.4277,Residential,27,69,0.0331,1054,7
20016310000,20901120308,209011203,Viewbank - Yallambie,20901,Banyule,Banyule (C),8.3306,19.3433,14.2339,9.5378,43.115,28.8811,13.2174,4.1815,1.9444,Residential,35,85,0.0428,1047,7
20016320000,20901119826,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),8.045,14.5483,10.1958,9.2548,33.9989,23.8031,12.2504,1.8316,0.4663,Residential,37,87,0.0338,1047,7
