area_type,area_code,area_name,scope,n_blocks,uhi_mean,uhi_p10,uhi_p90,canopy_mean,canopy_p10,canopy_p90,coolest_mb_code,coolest_uhi,coolest_canopy_pct
SA3,21003,Moreland - North,RESIDENTIAL,746,9.4701,8.8968,10.1938,7.9902,4.5222,12.0805,20631994450,7.4335,17.0666
SA3,21004,Sunbury,RESIDENTIAL,363,9.0693,8.1543,10.1707,10.3594,3.7851,17.375,20301580000,6.9501,20.6523
SA3,21005,Tullamarine - Broadmeadows,RESIDENTIAL,1248,9.3723,8.5448,10.1765,6.8239,2.2164,11.3162,20631973150,5.7606,4.5009
SA3,21101,Knox,RESIDENTIAL,1405,7.6382,6.2074,8.827,15.4248,8.8838,23.4078,20330730000,1.4665,46.2543
SA3,21102,Manningham - East,RESIDENTIAL,236,6.2966,4.1681,8.6127,28.4375,13.961,42.4987,20357440000,3.0988,48.5848
SA3,21103,Maroondah,RESIDENTIAL,1143,7.0224,5.9225,8.0859,20.3902,12.4986,28.7646,20386490000,3.7527,50.8505
SA3,21104,Whitehorse - East,RESIDENTIAL,600,7.9168,6.9837,8.7905,18.0447,11.8179,25.8576,20596190000,5.1827,41.9397
SA3,21105,Yarra Ranges,RESIDENTIAL,1079,6.0314,3.5374,8.0169,27.2865,12.8328,47.3592,20662072000,-0.2966,55.6174
SA3,21201,Cardinia,RESIDENTIAL,739,10.3801,4.6511,13.3032,13.4975,1.0781,43.3088,20102444000,1.4096,53.938
SA3,21202,Casey - North,RESIDENTIAL,1147,10.476,8.1658,12.7608,10.8523,5.8273,17.1999,20124440000,5.0269,19.9298
SA3,21203,Casey - South,RESIDENTIAL,1313,11.6288,9.0488,14.3786,7.7652,1.9302,13.8804,20128870000,4.7909,16.8864
SA3,21204,Dandenong,RESIDENTIAL,1763,9.4304,8.4917,10.377,8.125,4.5111,12.2814,20631956750,6.1486,15.3236
SA3,21205,Monash,RESIDENTIAL,1687,8.4753,7.6994,9.2458,13.3116,8.2269,19.2284,20443610000,4.8842,1.0133
SA3,21301,Brimbank,RESIDENTIAL,1625,10.8582,10.0742,11.849,6.0194,3.1835,9.3558,20093373000,7.0128,36.9218
SA3,21302,Hobsons Bay,RESIDENTIAL,852,8.1514,6.0476,10.1013,8.7193,4.4468,13.3194,20282620000,3.8228,27.8076
SA3,21303,Maribyrnong,RESIDENTIAL,856,9.2906,7.6252,10.6706,9.3474,5.1257,14.0399,20631967390,4.7076,2.8356
SA3,21304,Melton - Bacchus Marsh,RESIDENTIAL,1135,10.7992,9.407,12.1501,5.4184,0.9414,9.6678,20631998020,5.4198,2.1239
SA3,21305,Wyndham,RESIDENTIAL,1934,9.3972,7.5402,11.6733,5.3392,1.1003,9.5896,20632290000,3.7525,3.9603
SA3,21401,Frankston,RESIDENTIAL,1460,8.5383,6.8994,10.166,14.844,7.4443,22.3935,20178820000,3.2896,24.1459
SA3,21402,Mornington Peninsula,RESIDENTIAL,2229,5.3495,2.6865,8.0759,20.3496,8.7278,33.1721,20485780000,-7.4353,29.8191
SA2,206011105,Brunswick,RESIDENTIAL,263,8.8119,8.1456,9.5173,9.8663,5.0149,14.4421,20631954400,5.576,13.7755
SA2,206011106,Brunswick East,RESIDENTIAL,114,8.7697,8.0489,9.4579,10.084,4.2355,16.5635,20631965930,6.5066,35.5438
SA2,206011107,Brunswick West,RESIDENTIAL,167,9.0937,8.478,9.7551,10.136,5.4284,15.7704,20460970000,7.8247,12.02
SA2,206011108,Coburg,RESIDENTIAL,257,9.0369,8.3847,9.5946,9.4666,5.4469,14.2986,20471422000,7.1526,15.2612
SA2,206011109,Pascoe Vale South,RESIDENTIAL,89,9.0359,8.4705,9.4616,9.1733,5.5036,12.5007,20471040000,7.6501,30.005
SA2,206021110,Alphington - Fairfield,RESIDENTIAL,101,7.6878,7.0297,8.5023,16.53,10.4908,24.541,20144650000,6.2673,27.8673
SA2,206021111,Northcote,RESIDENTIAL,282,7.9238,7.2119,8.7075,12.6417,5.9103,19.7883,20140710000,5.9323,30.6556
SA2,206021112,Thornbury,RESIDENTIAL,217,8.3846,7.7581,8.9274,10.9781,7.3391,15.2247,20139732000,7.097,16.4296
SA2,206031113,Ascot Vale,RESIDENTIAL,147,9.3201,8.5667,10.1885,11.7974,6.5722,17.0463,20452160000,5.2839,9.3176
SA2,206031114,Essendon - Aberfeldie,RESIDENTIAL,293,9.4868,8.8423,10.2347,10.762,6.299,15.4842,20631941700,7.0075,3.5495
SA2,206031115,Flemington,RESIDENTIAL,99,8.6388,7.347,9.5319,18.384,8.2754,30.6443,20450811000,6.0753,34.4581
SA2,206031116,Moonee Ponds,RESIDENTIAL,154,9.4722,8.7989,10.115,10.4256,6.6191,15.0631,20444061000,8.1699,1.9665
SA2,206041117,Carlton,RESIDENTIAL,107,8.3946,7.3626,9.3648,11.6032,3.105,19.0732,20631957110,6.5582,8.6615
SA2,206041118,Docklands,RESIDENTIAL,24,5.4353,4.1829,6.9345,6.9692,2.1798,11.792,20631983440,3.3161,1.191
SA2,206041119,East Melbourne,RESIDENTIAL,61,7.8575,6.7962,8.6816,17.5472,10.8887,25.7769,20401190000,5.8836,19.581
SA2,206041121,Kensington (Vic.),RESIDENTIAL,121,9.1579,8.2438,10.4218,16.5025,9.423,23.8854,20397130000,7.4427,10.0797
SA2,206041122,Melbourne,RESIDENTIAL,48,6.9667,5.756,8.5318,5.0835,0.0274,12.943,20393800000,2.8541,1.6519
SA2,206041123,North Melbourne,RESIDENTIAL,122,8.4553,7.3659,9.6584,16.79,4.2748,30.8008,20631899930,6.1022,34.2331
SA2,206041124,Parkville,RESIDENTIAL,55,8.7408,7.7657,9.7297,16.6995,8.9319,24.1765,20397730000,6.9423,32.2495
SA2,206041125,South Yarra - West,RESIDENTIAL,83,7.0149,6.0651,8.2152,19.411,10.0954,28.4592,20400680000,5.0828,40.0246
SA2,206041126,Southbank,RESIDENTIAL,47,6.9032,5.4244,8.5917,7.8584,0.5263,18.3716,20395240000,4.6799,10.8967
SA2,206051128,Albert Park,RESIDENTIAL,160,6.7882,6.0333,7.4575,13.819,7.1736,21.1333,20528910000,5.5934,28.4476
SA2,206051129,Elwood,RESIDENTIAL,208,6.6144,4.9749,8.2122,20.6893,12.5866,30.1329,20521580000,4.0761,38.2717
SA2,206051130,Port Melbourne,RESIDENTIAL,147,6.868,5.9166,7.7663,10.699,2.9903,16.9694,20532160000,3.3561,13.1891
SA2,206051131,Port Melbourne Industrial,RESIDENTIAL,3,5.8024,5.2785,6.2641,5.0142,3.2789,6.6617,20400531000,5.1086,7.0187
SA2,206051132,South Melbourne,RESIDENTIAL,103,7.8242,6.7312,9.0263,15.9094,8.4341,25.0202,20631956450,5.3407,33.1547
SA2,206051133,St Kilda,RESIDENTIAL,346,7.5749,6.407,8.7564,16.03,6.811,26.4761,20521710000,5.7613,20.846
SA2,206051134,St Kilda East,RESIDENTIAL,224,8.0563,7.2856,8.7637,15.6609,8.1066,24.6576,20524970000,6.3171,20.4199
SA2,206061135,Armadale,RESIDENTIAL,117,7.5412,7.072,8.1432,19.17,11.99,25.2554,20544420000,6.1002,32.216
SA2,206061136,Prahran - Windsor,RESIDENTIAL,234,7.5889,6.902,8.421,16.0302,7.3913,25.6504,20631988020,5.9292,36.1521
SA2,206061137,South Yarra - East,RESIDENTIAL,212,7.2164,6.3077,8.0432,20.3536,10.6352,30.7108,20549270000,5.1934,10.738
SA2,206061138,Toorak,RESIDENTIAL,189,6.9067,6.0188,7.656,24.2125,16.5942,31.9659,20548370000,5.0345,28.6234
SA2,206071139,Abbotsford,RESIDENTIAL,67,7.7204,6.4421,8.8682,12.3741,5.2246,20.206,20631982020,4.5367,10.3321
SA2,206071140,Carlton North - Princes Hill,RESIDENTIAL,99,8.8227,8.3774,9.4794,12.05,6.8275,18.2697,20636750000,7.5876,13.4785
SA2,206071141,Collingwood,RESIDENTIAL,68,8.5937,7.8145,9.3278,9.4868,2.9375,18.6752,20640892000,7.1685,0.2155
SA2,206071142,Fitzroy,RESIDENTIAL,106,8.0781,7.3202,8.8106,13.613,5.9473,23.6778,20639644000,5.9312,29.1032
SA2,206071143,Fitzroy North,RESIDENTIAL,132,8.2506,7.5791,8.9118,13.4632,7.6662,19.9691,20639810000,6.3844,22.9943
SA2,206071144,Richmond (Vic.),RESIDENTIAL,302,8.155,7.3847,9.0151,10.8319,4.8124,17.659,20645951000,5.409,15.6094
SA2,206071145,Yarra - North,RESIDENTIAL,100,7.8947,6.722,9.1204,15.1329,7.4812,25.885,20639430000,4.2274,36.631
SA2,207011146,Ashburton (Vic.),RESIDENTIAL,81,7.8536,7.2065,8.3708,17.5333,13.1532,21.7615,20061690000,6.2504,26.0654
SA2,207011147,Balwyn,RESIDENTIAL,181,7.6301,6.9973,8.3097,18.3602,12.231,24.8426,20060430000,5.6631,26.7425
SA2,207011148,Balwyn North,RESIDENTIAL,191,8.0125,7.2528,8.7032,17.5242,13.3847,21.5507,20057570000,6.5624,20.1619
SA2,207011149,Camberwell,RESIDENTIAL,220,7.4729,6.808,8.1802,20.441,14.3363,27.1436,20065130000,6.1136,30.1024
SA2,207011150,Glen Iris - East,RESIDENTIAL,160,7.4655,6.9099,8.0318,19.1262,14.355,23.5129,20061640000,6.4194,21.5379
SA2,207011151,Hawthorn,RESIDENTIAL,273,7.4255,6.7172,8.1755,18.2589,9.5614,26.561,20067310000,4.2828,26.5735
SA2,207011152,Hawthorn East,RESIDENTIAL,160,7.4004,6.7662,8.0576,18.2758,12.2805,24.9572,20070782000,5.6983,22.8655
SA2,207011153,Kew,RESIDENTIAL,270,7.628,6.81,8.3177,18.8329,12.207,25.9747,20074940000,4.0003,34.1011
SA2,207011154,Kew East,RESIDENTIAL,66,7.8887,7.1884,8.682,18.723,14.357,24.029,20073120000,5.7367,25.5425
SA2,207011155,Surrey Hills (West) - Canterbury,RESIDENTIAL,172,6.8294,6.03,7.5399,22.7602,17.1122,28.4477,20060182000,5.1903,20.0962
SA2,207021156,Bulleen,RESIDENTIAL,111,8.8402,8.2829,9.4908,11.4068,8.0245,15.2003,20366020000,7.2605,18.9088
SA2,207021157,Doncaster,RESIDENTIAL,205,8.5906,7.7087,9.4845,13.4787,9.2759,17.4247,20631966380,7.0738,5.281
SA2,207021159,Templestowe,RESIDENTIAL,156,8.424,7.3577,9.371,17.6421,11.7093,24.4432,20361000000,5.3825,40.5479
SA2,207021160,Templestowe Lower,RESIDENTIAL,133,8.9522,8.3268,9.6205,15.0415,10.8692,20.4112,20359500000,7.8043,29.1118
SA2,207021424,Doncaster East (North),RESIDENTIAL,133,8.7224,8.3095,9.2087,14.573,10.6021,19.045,20368310000,7.4405,25.5696
SA2,207021425,Doncaster East (South),RESIDENTIAL,153,8.761,8.2187,9.3583,12.8871,8.804,17.1234,20363590000,6.7078,17.1917
SA2,207031161,Blackburn,RESIDENTIAL,222,7.6869,6.2691,8.7514,20.6236,12.3705,32.6115,20605790000,4.9166,40.0687
SA2,207031162,Blackburn South,RESIDENTIAL,103,8.2618,7.5908,8.7391,16.1523,12.2294,20.2742,20604710000,6.5963,31.6951
SA2,207031163,Box Hill,RESIDENTIAL,215,7.8987,7.2615,8.6489,17.284,10.5588,23.6902,20592040000,6.4494,22.8268
SA2,207031164,Box Hill North,RESIDENTIAL,172,8.286,7.715,8.7786,16.5237,11.402,22.4843,20594480000,6.9788,27.8726
SA2,207031165,Burwood,RESIDENTIAL,112,8.2183,7.5816,8.8046,14.0689,10.4004,18.4412,20631932890,6.208,17.2825
SA2,207031166,Burwood East,RESIDENTIAL,96,8.6472,8.1194,9.1718,11.9645,8.8064,15.8096,20604010000,6.9707,10.595
SA2,207031167,Surrey Hills (East) - Mont Albert,RESIDENTIAL,104,7.5621,6.9984,8.2233,21.4019,16.2276,26.7719,20587690000,6.0525,26.6674
SA2,208011168,Beaumaris,RESIDENTIAL,128,6.9944,5.9093,8.3232,19.3401,14.084,24.5332,20049420000,4.6855,23.9087
SA2,208011169,Brighton (Vic.),RESIDENTIAL,251,7.5244,6.2562,8.51,17.2094,12.4975,22.5217,20045230000,4.6273,25.8053
SA2,208011170,Brighton East,RESIDENTIAL,161,8.3517,7.7128,8.986,15.8919,11.3422,19.829,20042720000,7.1781,22.5885
SA2,208011171,Cheltenham - Highett (West),RESIDENTIAL,117,8.5327,7.7283,9.2218,14.3772,9.4257,19.091,20053411000,6.1808,9.9703
SA2,208011172,Hampton,RESIDENTIAL,169,7.973,6.5487,8.9645,15.0769,10.9805,19.9019,20631966580,5.5946,8.9201
SA2,208011173,Sandringham - Black Rock,RESIDENTIAL,176,6.8507,5.6952,7.9847,16.7963,11.3977,22.3869,20050160000,4.4675,7.7289
SA2,208021174,Bentleigh - McKinnon,RESIDENTIAL,239,8.7144,8.1918,9.3258,11.0071,7.0735,14.7031,20194913000,7.6862,1.4768
SA2,208021176,Carnegie,RESIDENTIAL,208,8.5376,7.7856,9.3881,11.7537,7.108,17.1701,20185120000,6.4165,21.2817
SA2,208021177,Caulfield - North,RESIDENTIAL,229,8.1546,7.5449,8.8027,16.1652,10.7799,22.0044,20631970050,5.7576,29.7117
SA2,208021178,Caulfield - South,RESIDENTIAL,196,8.7081,8.2918,9.2224,13.2674,9.4305,17.0108,20631997080,7.4476,5.271
SA2,208021179,Elsternwick,RESIDENTIAL,137,8.1807,7.4114,8.6572,15.0744,10.3032,20.751,20184530000,6.9821,29.8521
SA2,208021180,Hughesdale,RESIDENTIAL,85,8.5418,7.9353,9.23,11.4794,7.7433,14.9436,20425121000,7.3883,16.89
SA2,208021181,Murrumbeena,RESIDENTIAL,98,8.4922,8.0528,9.0689,12.9313,9.1753,16.6725,20188200000,7.5095,26.4871
SA2,208021182,Ormond - Glen Huntly,RESIDENTIAL,156,9.0136,8.2579,9.9046,12.0669,6.426,18.0254,20631938410,7.5483,6.4295
SA2,208021426,Bentleigh East (North),RESIDENTIAL,141,9.0863,8.7171,9.4975,9.8311,7.5359,12.4336,20197170000,7.1154,4.9744
SA2,208021427,Bentleigh East (South),RESIDENTIAL,128,9.1158,8.6791,9.6362,10.6518,7.353,13.7557,20197920000,7.7222,13.1462
SA2,208031183,Aspendale Gardens - Waterways,RESIDENTIAL,77,9.8867,8.7103,10.6333,9.1773,5.9573,12.7244,20309720000,7.9164,6.1436
SA2,208031185,Carrum - Patterson Lakes,RESIDENTIAL,131,8.5445,6.877,10.0461,11.1436,7.1984,15.7026,20320740000,5.5869,9.3778
SA2,208031186,Chelsea - Bonbeach,RESIDENTIAL,185,9.4867,8.1012,10.5261,8.134,3.5751,12.8903,20326270000,5.4478,9.5743
SA2,208031187,Chelsea Heights,RESIDENTIAL,50,10.1378,9.3641,10.7779,11.0496,7.836,14.3602,20325330000,8.7361,9.6662
SA2,208031188,Cheltenham - Highett (East),RESIDENTIAL,247,10.0386,9.1752,10.8771,10.6056,6.5462,15.0374,20631930310,8.5056,19.1807
