mb_code16,warming_level,days_label,days_lower,days_upper
20018920000,1.2,5-10,5,10
20018930000,1.2,5-10,5,10
20018940000,1.2,5-10,5,10
20018960000,1.2,5-10,5,10
20018970000,1.2,5-10,5,10
20017890000,1.2,5-10,5,10
20017900000,1.2,5-10,5,10
20017910000,1.2,5-10,5,10
20019580000,1.2,5-10,5,10
20019590000,1.2,5-10,5,10
20019610000,1.2,5-10,5,10
20019620000,1.2,5-10,5,10
20019630000,1.2,5-10,5,10
20019640000,1.2,5-10,5,10
20019650000,1.2,5-10,5,10
20019660000,1.2,5-10,5,10
20019670000,1.2,5-10,5,10
20019680000,1.2,5-10,5,10
20018570000,1.2,5-10,5,10
20018580000,1.2,5-10,5,10
20018590000,1.2,5-10,5,10
20018600000,1.2,5-10,5,10
20018610000,1.2,5-10,5,10
20018620000,1.2,5-10,5,10
20018630000,1.2,5-10,5,10
20018640000,1.2,5-10,5,10
20018650000,1.2,5-10,5,10
20018660000,1.2,5-10,5,10
20018670000,1.2,5-10,5,10
20018680000,1.2,5-10,5,10
20018690000,1.2,5-10,5,10
20018700000,1.2,5-10,5,10
20018710000,1.2,5-10,5,10
20018720000,1.2,5-10,5,10
20018980000,1.2,5-10,5,10
20018990000,1.2,5-10,5,10
20018740000,1.2,5-10,5,10
20018750000,1.2,5-10,5,10
20018760000,1.2,5-10,5,10
20018770000,1.2,5-10,5,10
20018780000,1.2,5-10,5,10
20018790000,1.2,5-10,5,10
20018800000,1.2,5-10,5,10
20018810000,1.2,5-10,5,10
20017990000,1.2,5-10,5,10
20018000000,1.2,5-10,5,10
20018010000,1.2,5-10,5,10
20018020000,1.2,5-10,5,10
20018030000,1.2,5-10,5,10
20018040000,1.2,5-10,5,10
20019910000,1.2,5-10,5,10
20018050000,1.2,5-10,5,10
20018060000,1.2,5-10,5,10
20018070000,1.2,5-10,5,10
20018080000,1.2,5-10,5,10
20018090000,1.2,5-10,5,10
20018100000,1.2,5-10,5,10
20018111000,1.2,5-10,5,10
20018112000,1.2,5-10,5,10
20018120000,1.2,5-10,5,10
20018130000,1.2,5-10,5,10
20018140000,1.2,5-10,5,10
20018150000,1.2,5-10,5,10
